Id,Date,Polarity,Polarity_Variance,Subjectivity,Subjectivity_Variance,Crop_Name
141,5/18/2020,-0.07,,0.13,,rice
142,5/18/2020,0.06,,0.31,,rice
143,5/18/2020,-0.06,0.0,0.28,0.0,rice
147,5/15/2020,-0.23,0.01,0.77,0.1,rice
149,5/14/2020,0.3,0.02,0.59,0.05,rice
150,5/14/2020,0.27,0.06,0.64,0.04,rice
151,5/14/2020,0.0,,0.0,,rice
155,5/13/2020,0.25,0.03,0.33,0.0,rice
156,5/13/2020,0.16,0.01,0.55,0.15,rice
160,05-12-2020,0.27,0.02,0.38,0.05,rice
161,05-12-2020,0.01,,0.48,,rice
167,05-11-2020,-0.07,0.0,0.33,0.0,rice
170,05-08-2020,0.06,,0.5,,rice
171,05-08-2020,0.4,,0.73,,rice
172,05-07-2020,-0.3,0.04,0.4,0.08,rice
173,05-07-2020,-0.06,0.0,0.34,0.03,rice
174,05-07-2020,-0.1,,0.18,,rice
179,05-06-2020,-0.15,0.01,0.33,0.05,rice
180,05-06-2020,0.31,0.04,0.51,0.05,rice
181,05-06-2020,-0.25,0.02,0.3,0.02,rice
182,05-06-2020,-0.04,,0.17,,rice
185,05-05-2020,-0.25,0.03,0.38,0.02,rice
187,05-05-2020,-0.3,0.01,0.75,0.06,rice
188,05-05-2020,0.15,,0.6,,rice
189,05-05-2020,-0.48,,0.85,,rice
196,05-04-2020,0.02,,0.46,,rice
197,05-04-2020,0.12,,0.32,,rice
198,05-04-2020,-0.03,0.0,0.24,0.0,rice
202,05-01-2020,0.16,0.02,0.54,0.03,rice
205,4/30/2020,-0.01,,0.35,,rice
209,4/30/2020,0.17,,0.45,,rice
210,4/30/2020,-0.12,,0.38,,rice
211,4/29/2020,0.0,,0.0,,rice
212,4/29/2020,0.16,,0.54,,rice
217,4/27/2020,-0.2,,0.4,,rice
221,4/27/2020,-0.06,0.0,0.29,0.0,rice
223,4/24/2020,0.3,,0.57,,rice
230,4/24/2020,0.2,0.02,0.42,0.02,rice
236,4/23/2020,0.16,0.01,0.51,0.01,rice
240,4/22/2020,0.11,,0.29,,rice
241,4/22/2020,0.0,,0.07,,rice
243,4/21/2020,0.1,0.01,0.25,0.03,rice
244,4/21/2020,0.29,0.04,0.54,0.15,rice
245,4/21/2020,0.14,0.02,0.42,0.04,rice
246,4/21/2020,-0.7,0.27,1.0,0.32,rice
251,4/20/2020,0.0,0.0,0.3,0.04,rice
253,4/20/2020,-0.02,,0.2,,rice
255,4/17/2020,-0.3,0.07,0.4,0.0,rice
256,4/17/2020,-0.03,,0.4,,rice
258,4/17/2020,0.4,0.0,0.65,0.0,rice
259,4/17/2020,-0.38,0.07,0.62,0.07,rice
260,4/17/2020,0.19,,0.44,,rice
264,4/16/2020,-0.12,,0.38,,rice
265,4/16/2020,0.03,,0.28,,rice
266,4/16/2020,0.05,0.0,0.32,0.0,rice
267,4/16/2020,-0.01,,0.31,,rice
271,4/15/2020,0.03,0.0,0.59,0.01,rice
272,4/15/2020,-0.02,0.0,0.33,0.03,rice
275,4/14/2020,-0.55,0.16,0.56,0.01,rice
276,4/14/2020,0.05,,0.53,,rice
277,4/14/2020,-0.32,,0.77,,rice
278,4/14/2020,-0.25,0.01,0.5,0.03,rice
285,4/13/2020,-0.22,0.02,0.8,0.07,rice
286,4/13/2020,-0.03,0.0,0.28,0.0,rice
287,04-12-2020,0.08,0.0,0.52,0.04,rice
289,04-10-2020,0.32,0.02,0.51,0.01,rice
290,04-10-2020,0.4,0.03,0.5,0.04,rice
294,04-09-2020,0.32,0.05,0.52,0.02,rice
298,04-09-2020,0.23,0.02,0.35,0.02,rice
300,04-09-2020,-0.06,,0.19,,rice
303,04-08-2020,0.0,,0.0,,rice
306,04-07-2020,0.4,0.07,0.9,0.17,rice
308,04-07-2020,-0.5,0.05,1.0,0.14,rice
309,04-07-2020,0.01,,0.17,,rice
310,04-06-2020,0.34,0.01,1.0,0.08,rice
311,04-06-2020,0.17,0.01,0.55,0.06,rice
313,04-06-2020,0.2,0.0,0.4,0.01,rice
315,04-06-2020,-0.1,0.0,0.25,0.0,rice
319,04-03-2020,0.2,,0.2,,rice
320,04-03-2020,0.0,0.0,0.0,0.0,rice
321,04-03-2020,-0.01,,0.31,,rice
322,04-03-2020,-0.6,0.08,0.95,0.12,rice
323,04-03-2020,0.0,,0.0,,rice
324,04-03-2020,-0.07,0.01,0.36,0.0,rice
326,04-02-2020,0.06,,0.5,,rice
328,04-02-2020,0.25,,0.5,,rice
331,04-01-2020,0.06,,0.62,,rice
332,04-01-2020,0.22,0.02,0.68,0.1,rice
333,04-01-2020,0.06,,0.31,,rice
335,3/31/2020,0.02,,0.42,,rice
341,3/30/2020,0.25,,0.68,,rice
343,3/30/2020,0.43,0.04,0.61,0.05,rice
344,3/30/2020,-0.03,0.0,0.26,0.0,rice
345,3/27/2020,0.05,0.0,0.19,0.0,rice
347,3/27/2020,0.4,0.04,0.8,0.14,rice
350,3/27/2020,0.5,0.05,0.5,0.06,rice
351,3/27/2020,0.0,,0.5,,rice
353,3/26/2020,-0.51,0.05,0.7,0.07,rice
354,3/26/2020,0.0,,0.0,,rice
355,3/25/2020,-0.02,,0.22,,rice
358,3/24/2020,0.25,0.0,0.57,0.04,rice
359,3/24/2020,0.25,0.04,0.52,0.0,rice
363,3/24/2020,-0.39,0.05,0.83,0.1,rice
364,3/24/2020,-0.09,0.0,0.26,0.03,rice
365,3/23/2020,0.25,0.02,0.57,0.03,rice
366,3/23/2020,-0.1,0.0,0.4,0.04,rice
368,3/23/2020,-0.12,0.0,0.29,0.0,rice
371,3/20/2020,0.2,0.03,0.47,0.01,rice
375,3/20/2020,0.23,0.02,0.53,0.04,rice
379,3/19/2020,-0.04,,0.29,,rice
380,3/19/2020,-0.53,0.03,0.8,0.05,rice
381,3/19/2020,0.07,,0.52,,rice
383,3/18/2020,0.06,0.0,0.69,0.13,rice
384,3/17/2020,-0.28,0.02,0.8,0.09,rice
386,3/17/2020,0.2,0.01,0.32,0.03,rice
388,3/17/2020,-0.04,0.0,0.56,0.05,rice
390,3/16/2020,-0.23,0.01,0.5,0.06,rice
391,3/16/2020,0.35,0.04,0.55,0.08,rice
395,3/16/2020,-0.02,0.0,0.27,0.0,rice
396,3/13/2020,0.06,,0.37,,rice
397,3/13/2020,0.38,,0.65,,rice
398,3/13/2020,-0.06,,0.2,,rice
400,3/13/2020,0.0,,0.13,,rice
401,03-12-2020,-0.5,0.18,0.55,0.08,rice
403,03-12-2020,0.02,,0.19,,rice
405,03-11-2020,-0.8,0.36,1.0,0.3,rice
406,03-11-2020,-0.02,,0.41,,rice
409,03-10-2020,0.25,0.03,0.41,0.08,rice
411,03-09-2020,-0.27,0.03,0.37,0.01,rice
412,03-06-2020,-0.46,0.06,0.88,0.05,rice
413,03-06-2020,0.09,,0.57,,rice
416,03-05-2020,0.05,,0.34,,rice
418,03-05-2020,0.0,,0.3,,rice
423,03-03-2020,0.16,0.01,0.54,0.1,rice
428,03-02-2020,0.35,,0.55,,rice
429,03-02-2020,-0.08,,0.17,,rice
431,03-02-2020,-0.05,0.0,0.33,0.01,rice
433,2/28/2020,-0.05,,0.28,,rice
444,2/26/2020,0.12,,0.41,,rice
446,2/25/2020,0.5,0.1,0.5,0.07,rice
448,2/25/2020,0.0,,0.0,,rice
454,2/24/2020,0.14,0.02,0.45,0.03,rice
455,2/24/2020,-0.02,0.0,0.28,0.01,rice
458,2/21/2020,0.03,0.0,0.36,0.02,rice
459,2/21/2020,0.15,0.02,0.55,0.06,rice
461,2/21/2020,0.02,,0.35,,rice
462,2/21/2020,0.15,,0.32,,rice
464,2/20/2020,0.09,0.0,0.45,0.02,rice
466,2/20/2020,0.4,,0.4,,rice
469,2/19/2020,0.11,,0.14,,rice
473,2/19/2020,0.07,,0.32,,rice
474,2/18/2020,0.27,0.03,0.5,0.02,rice
475,2/18/2020,0.22,0.02,0.57,0.11,rice
476,2/17/2020,0.06,0.0,0.28,0.0,rice
479,2/14/2020,0.05,0.0,0.38,0.03,rice
483,2/14/2020,0.14,,0.29,,rice
485,2/13/2020,0.15,0.0,0.62,0.07,rice
486,2/13/2020,0.0,,1.0,,rice
487,2/13/2020,0.02,,0.54,,rice
489,2/13/2020,-0.3,0.03,0.65,0.07,rice
492,02-12-2020,-0.8,0.21,1.0,0.33,rice
493,02-12-2020,-0.31,,0.69,,rice
495,02-12-2020,0.0,,0.0,,rice
496,02-12-2020,0.12,0.0,0.37,0.02,rice
498,02-11-2020,0.07,0.0,0.48,0.08,rice
499,02-11-2020,0.0,,0.3,,rice
503,02-10-2020,0.07,0.0,0.31,0.0,rice
504,02-09-2020,-0.0,,0.6,,rice
505,02-09-2020,0.0,,0.0,,rice
506,02-07-2020,0.0,,0.07,,rice
509,02-07-2020,0.0,,0.28,,rice
510,02-07-2020,0.4,0.04,0.37,0.03,rice
511,02-06-2020,-0.12,0.0,0.12,0.0,rice
513,02-06-2020,-0.21,0.02,0.45,0.1,rice
515,02-06-2020,0.14,0.0,0.29,0.0,rice
518,02-06-2020,0.22,,0.45,,rice
524,02-05-2020,0.33,0.04,0.6,0.03,rice
526,02-04-2020,0.35,,0.65,,rice
528,02-04-2020,0.08,0.0,0.4,0.03,rice
530,02-03-2020,-0.19,,0.51,,rice
532,02-03-2020,-0.03,0.0,0.33,0.01,rice
534,1/31/2020,0.05,,0.41,,rice
536,1/31/2020,-0.03,0.0,0.33,0.0,rice
537,1/31/2020,0.1,0.01,0.53,0.07,rice
546,1/29/2020,0.0,,0.5,,rice
548,1/29/2020,-0.3,,0.97,,rice
549,1/29/2020,0.21,0.02,0.55,0.15,rice
551,1/28/2020,-0.12,0.01,0.38,0.07,rice
556,1/27/2020,-0.05,0.0,0.31,0.01,rice
559,1/24/2020,0.53,,0.4,,rice
561,1/24/2020,-0.3,0.02,0.41,0.03,rice
568,1/23/2020,0.16,,0.23,,rice
573,1/21/2020,-0.13,0.01,0.19,0.02,rice
574,1/21/2020,0.0,,0.3,,rice
575,1/21/2020,0.25,,0.41,,rice
578,1/18/2020,-0.16,0.02,0.59,0.02,rice
583,1/17/2020,0.0,,1.0,,rice
588,1/16/2020,0.0,0.0,0.3,0.0,rice
589,1/16/2020,0.5,0.05,0.7,0.09,rice
590,1/16/2020,0.3,0.02,0.1,0.0,rice
591,1/16/2020,-0.04,,0.39,,rice
593,1/15/2020,-0.31,,0.55,,rice
598,1/15/2020,0.3,0.0,0.47,0.0,rice
601,1/14/2020,0.0,0.0,0.0,0.0,rice
605,1/13/2020,0.0,0.0,0.25,0.03,rice
607,1/13/2020,-0.15,,0.47,,rice
609,1/13/2020,0.04,0.0,0.29,0.01,rice
610,01-10-2020,0.08,,0.2,,rice
611,01-10-2020,0.33,,0.29,,rice
614,01-10-2020,0.0,,0.0,,rice
615,01-09-2020,0.07,,0.1,,rice
617,01-09-2020,0.13,0.01,0.45,0.0,rice
623,01-08-2020,0.25,0.03,0.5,0.12,rice
625,01-07-2020,0.4,,0.33,,rice
627,01-07-2020,-0.15,0.01,0.33,0.05,rice
631,01-06-2020,0.05,,0.25,,rice
632,01-04-2020,-0.29,,0.54,,rice
634,01-03-2020,-0.12,,0.6,,rice
635,01-02-2020,-0.07,0.0,0.5,0.01,rice
642,12/24/2019,0.07,,0.39,,rice
645,12/23/2019,0.12,0.01,0.45,0.01,rice
646,12/20/2019,0.32,0.0,0.49,0.02,rice
647,12/20/2019,0.0,,0.0,,rice
649,12/20/2019,0.0,,0.0,,rice
650,12/20/2019,-0.07,,0.66,,rice
655,12/19/2019,0.21,0.01,0.41,0.0,rice
658,12/18/2019,-0.18,,0.49,,rice
662,12/17/2019,-0.12,0.01,0.31,0.05,rice
663,12/16/2019,-0.08,0.0,0.43,0.0,rice
665,12/16/2019,0.0,0.0,0.5,0.12,rice
666,12/16/2019,-0.05,0.0,0.35,0.01,rice
670,12/13/2019,0.06,,0.3,,rice
671,12/13/2019,0.32,,0.31,,rice
677,12-11-2019,0.0,,0.0,,rice
679,12-11-2019,0.25,,0.5,,rice
680,12-10-2019,0.17,0.02,0.66,0.01,rice
683,12-10-2019,-0.12,,0.38,,rice
689,12-09-2019,0.26,0.02,0.42,0.02,rice
692,12-06-2019,0.7,0.16,0.6,0.12,rice
693,12-06-2019,0.17,,0.45,,rice
694,12-06-2019,0.14,0.0,0.58,0.01,rice
697,12-05-2019,0.1,,0.03,,rice
699,12-04-2019,0.4,0.08,0.4,0.08,rice
702,12-04-2019,0.13,,0.51,,rice
704,12-03-2019,0.15,,0.65,,rice
707,12-02-2019,0.04,0.0,0.62,0.05,rice
708,12-02-2019,0.18,,0.31,,rice
709,11/27/2019,0.13,0.0,0.49,0.0,rice
712,11/27/2019,0.5,0.05,0.59,0.0,rice
714,11/26/2019,0.12,0.01,0.54,0.06,rice
715,11/26/2019,0.0,,0.0,,rice
716,11/26/2019,0.25,,0.47,,rice
719,11/22/2019,0.0,,0.0,,rice
728,11/20/2019,-0.08,,0.48,,rice
736,11/18/2019,0.35,0.06,0.55,0.15,rice
737,11/18/2019,-0.05,0.0,0.35,0.0,rice
741,11/15/2019,-0.14,0.01,0.4,0.0,rice
744,11/14/2019,0.0,,0.0,,rice
746,11/14/2019,0.09,,0.32,,rice
754,11-12-2019,0.3,0.03,0.6,0.1,rice
761,11-11-2019,-0.02,,0.24,,rice
763,11-08-2019,-0.3,0.05,0.54,0.08,rice
764,11-08-2019,0.25,0.02,0.55,0.05,rice
772,11-06-2019,-0.05,,0.18,,rice
779,11-04-2019,-0.19,0.01,0.63,0.06,rice
780,11-04-2019,-0.04,0.0,0.26,0.0,rice
789,10/29/2019,0.33,0.03,0.57,0.07,rice
797,10/28/2019,0.02,0.0,0.28,0.0,rice
799,10/25/2019,-0.3,0.01,0.41,0.01,rice
805,10/23/2019,0.12,0.0,0.41,0.01,rice
806,10/22/2019,0.31,0.05,0.58,0.17,rice
810,10/21/2019,0.0,,0.0,,rice
811,10/21/2019,-0.02,0.0,0.26,0.0,rice
814,10/17/2019,0.1,0.01,0.47,0.11,rice
817,10/17/2019,-0.16,,0.42,,rice
818,10/17/2019,0.5,0.12,0.5,0.12,rice
819,10/17/2019,-0.19,0.0,0.46,0.01,rice
828,10/14/2019,-0.01,,0.23,,rice
829,10-11-2019,0.6,0.18,0.95,0.45,rice
831,10-10-2019,0.3,,0.38,,rice
842,10-08-2019,0.07,,0.31,,rice
846,10-07-2019,0.0,,0.07,,rice
847,10-07-2019,0.05,,0.32,,rice
848,10-07-2019,-0.07,0.0,0.46,0.02,rice
851,10-04-2019,0.5,0.03,0.71,0.02,rice
852,10-04-2019,0.25,,0.5,,rice
858,10-02-2019,-0.4,0.03,0.65,0.06,rice
860,10-02-2019,-0.07,0.0,0.47,0.02,rice
861,10-02-2019,0.0,,0.08,,rice
862,10-01-2019,-0.06,,0.38,,rice
864,10-01-2019,-0.12,0.0,0.63,0.06,rice
867,9/30/2019,0.0,,0.0,,rice
869,9/30/2019,-0.05,0.0,0.05,0.0,rice
870,9/30/2019,0.3,0.04,0.47,0.01,rice
871,9/27/2019,0.0,,0.0,,rice
874,9/27/2019,0.13,,0.51,,rice
875,9/26/2019,0.35,0.06,0.35,0.06,rice
879,9/26/2019,0.2,,0.3,,rice
881,9/26/2019,0.4,0.1,0.57,0.0,rice
883,9/25/2019,-0.05,,0.52,,rice
887,9/24/2019,0.14,,0.08,,rice
890,9/23/2019,-0.05,0.0,0.35,0.01,rice
893,9/20/2019,0.25,,0.5,,rice
896,9/20/2019,0.37,,0.53,,rice
899,9/19/2019,0.12,0.01,0.25,0.03,rice
900,9/19/2019,0.0,,0.25,,rice
901,9/19/2019,0.3,,0.65,,rice
907,9/17/2019,0.0,,0.0,,rice
908,9/17/2019,0.0,,0.0,,rice
912,9/16/2019,0.15,,0.25,,rice
913,9/16/2019,0.0,,0.0,,rice
914,9/16/2019,0.25,0.04,0.47,0.03,rice
915,9/13/2019,0.16,,0.54,,rice
919,09-12-2019,0.0,,0.0,,rice
924,09-11-2019,0.15,0.0,0.39,0.04,rice
925,09-11-2019,-0.1,,0.28,,rice
927,09-10-2019,0.0,,0.25,,rice
929,09-09-2019,0.0,,0.0,,rice
941,09-04-2019,0.0,,0.0,,rice
944,09-03-2019,-0.3,0.07,0.6,0.02,rice
946,09-03-2019,0.07,0.0,0.37,0.07,rice
947,09-03-2019,0.08,0.0,0.34,0.01,rice
949,8/30/2019,-0.25,0.01,0.55,0.0,rice
952,8/29/2019,0.17,0.01,0.2,0.01,rice
953,8/29/2019,-0.29,0.03,0.54,0.1,rice
959,8/28/2019,0.25,,0.56,,rice
967,8/27/2019,0.7,0.72,0.6,0.04,rice
971,8/26/2019,0.33,0.04,0.6,0.04,rice
973,8/26/2019,0.03,0.0,0.3,0.01,rice
979,8/22/2019,0.0,,0.0,,rice
983,8/20/2019,0.35,0.05,0.53,0.06,rice
988,8/19/2019,0.07,0.0,0.32,0.01,rice
990,8/16/2019,0.07,0.0,0.66,0.08,rice
991,8/16/2019,0.34,,0.54,,rice
993,8/15/2019,0.5,0.02,0.57,0.0,rice
996,8/14/2019,-0.3,0.04,0.4,0.01,rice
999,8/14/2019,0.0,,0.3,,rice
1001,8/13/2019,0.25,0.02,0.33,0.04,rice
1002,8/13/2019,0.08,0.0,0.57,0.0,rice
1005,08-12-2019,0.5,0.04,0.89,0.24,rice
1010,08-12-2019,0.0,,0.3,,rice
1011,08-12-2019,-0.05,0.0,0.24,0.0,rice
1015,08-08-2019,0.0,,0.0,,rice
1016,08-08-2019,0.24,,0.39,,rice
1024,08-06-2019,-0.21,,0.36,,rice
1028,08-05-2019,-0.04,0.0,0.26,0.0,rice
1029,08-02-2019,0.1,,0.4,,rice
1031,08-01-2019,0.2,0.01,0.32,0.03,rice
1032,08-01-2019,-0.19,,0.28,,rice
1039,7/29/2019,-0.05,0.0,0.28,0.0,rice
1042,7/25/2019,0.0,,0.5,,rice
1043,7/25/2019,0.42,0.05,0.67,0.05,rice
1045,7/24/2019,-0.06,,0.34,,rice
1054,7/22/2019,-0.02,,0.18,,rice
1055,7/22/2019,0.0,,0.26,,rice
1058,7/18/2019,0.25,0.03,0.21,0.02,rice
1059,7/18/2019,0.16,,0.62,,rice
1066,7/15/2019,0.0,,0.0,,rice
1068,7/15/2019,-0.03,0.0,0.29,0.0,rice
1070,07-12-2019,0.14,0.0,0.5,0.01,rice
1074,07-11-2019,0.06,,0.41,,rice
1075,07-11-2019,0.5,0.1,0.5,0.0,rice
1082,07-08-2019,-0.15,,0.2,,rice
1086,07-03-2019,0.07,0.0,0.47,0.04,rice
1091,07-01-2019,0.22,0.01,0.7,0.04,rice
1092,07-01-2019,0.0,,0.4,,rice
1095,07-01-2019,-0.12,0.03,0.41,0.0,rice
1096,07-01-2019,0.03,,0.23,,rice
1097,6/28/2019,-0.08,,0.07,,rice
1106,6/26/2019,-0.6,0.09,1.0,0.03,rice
1108,6/26/2019,0.0,,0.0,,rice
1120,6/21/2019,0.37,,0.45,,rice
1128,6/18/2019,0.0,0.0,0.5,0.0,rice
1131,6/17/2019,-0.19,0.01,0.48,0.04,rice
1133,6/17/2019,-0.02,0.0,0.4,0.01,rice
1140,06-12-2019,0.09,,0.34,,rice
1141,06-11-2019,-0.03,0.0,0.45,0.1,rice
1146,06-10-2019,-0.04,0.0,0.25,0.0,rice
1156,06-06-2019,0.35,,0.4,,rice
1159,06-05-2019,0.07,,0.34,,rice
1169,06-03-2019,-0.17,,0.33,,rice
1171,5/31/2019,-0.38,0.03,0.62,0.06,rice
1172,5/31/2019,0.07,,0.61,,rice
1174,5/31/2019,-0.3,0.04,0.6,0.18,rice
1179,5/30/2019,0.0,,0.0,,rice
1181,5/29/2019,-0.01,,0.38,,rice
1186,5/28/2019,-0.0,,0.45,,rice
1187,5/28/2019,-0.05,0.0,0.25,0.01,rice
1190,5/23/2019,-0.09,,0.35,,rice
1191,5/23/2019,-0.15,0.01,0.49,0.12,rice
1194,5/22/2019,-0.8,0.3,1.0,0.04,rice
1195,5/22/2019,0.08,0.0,0.47,0.11,rice
1196,5/22/2019,0.11,,0.48,,rice
1203,5/20/2019,-0.3,0.03,0.54,0.04,rice
1207,5/20/2019,-0.03,,0.24,,rice
1208,5/20/2019,-0.03,0.0,0.26,0.01,rice
1212,5/15/2019,0.0,,0.0,,rice
1216,5/14/2019,0.33,,0.33,,rice
1220,5/13/2019,-0.03,0.0,0.31,0.01,rice
1226,05-08-2019,-0.13,0.02,0.53,0.02,rice
1227,05-08-2019,-0.03,0.0,0.3,0.04,rice
1228,05-08-2019,0.04,,0.54,,rice
1237,05-06-2019,0.0,,0.14,,rice
1240,05-03-2019,-0.8,0.2,1.0,0.23,rice
1244,05-02-2019,-0.19,0.01,0.24,0.0,rice
1248,05-02-2019,0.47,0.02,0.7,0.0,rice
1249,05-01-2019,0.27,0.08,0.38,0.0,rice
1250,05-01-2019,-0.8,0.21,1.0,0.27,rice
1251,05-01-2019,-0.36,0.04,0.67,0.08,rice
1254,4/30/2019,0.0,,0.0,,rice
1256,4/30/2019,0.0,0.0,0.0,0.0,rice
1262,4/29/2019,-0.05,0.0,0.32,0.01,rice
1266,4/26/2019,0.0,,0.0,,rice
1276,4/22/2019,-0.06,0.0,0.32,0.0,rice
1278,4/22/2019,-0.04,,0.17,,rice
1279,4/19/2019,0.13,0.0,0.46,0.04,rice
1284,4/18/2019,0.0,,0.0,,rice
1285,4/18/2019,0.3,0.02,0.75,0.03,rice
1289,4/17/2019,-0.21,0.02,0.35,0.02,rice
1290,4/17/2019,0.22,0.02,0.58,0.04,rice
1292,4/16/2019,-0.24,,0.29,,rice
1293,4/16/2019,0.16,0.01,0.73,0.03,rice
1297,4/15/2019,0.0,,0.0,,rice
1300,4/15/2019,0.37,,0.23,,rice
1301,4/15/2019,-0.03,0.0,0.24,0.0,rice
1303,04-12-2019,0.11,0.0,0.51,0.03,rice
1306,04-11-2019,0.1,,0.57,,rice
1311,04-10-2019,-0.06,,0.26,,rice
1321,04-08-2019,0.22,0.03,0.27,0.0,rice
1322,04-05-2019,0.6,0.03,0.95,0.05,rice
1336,04-01-2019,-0.03,0.0,0.29,0.01,rice
1337,3/29/2019,-0.33,0.05,0.46,0.04,rice
1338,3/29/2019,-0.15,0.01,0.33,0.02,rice
1339,3/29/2019,0.0,,0.3,,rice
1344,3/28/2019,0.05,,0.31,,rice
1346,3/27/2019,0.24,0.01,0.55,0.01,rice
1348,3/27/2019,0.0,,0.0,,rice
1351,3/26/2019,-0.06,,0.34,,rice
1352,3/26/2019,0.19,,0.46,,rice
1354,3/26/2019,0.46,,0.74,,rice
1358,3/25/2019,0.0,,0.12,,rice
1363,3/21/2019,-0.1,,0.1,,rice
1370,3/20/2019,-0.2,0.01,0.76,0.27,rice
1371,3/20/2019,0.1,,0.17,,rice
1373,3/20/2019,0.0,,0.07,,rice
1381,3/18/2019,-0.03,0.0,0.36,0.06,rice
1384,3/18/2019,-0.09,0.0,0.3,0.0,rice
1386,3/17/2019,-0.15,0.0,0.3,0.02,rice
1391,3/13/2019,0.26,,0.34,,rice
1406,03-11-2019,0.0,0.0,0.28,0.01,rice
1410,03-07-2019,0.38,,0.5,,rice
1412,03-07-2019,-0.21,0.01,0.46,0.02,rice
1413,03-07-2019,0.1,0.01,0.41,0.04,rice
1414,03-07-2019,0.25,,0.5,,rice
1417,03-06-2019,0.0,,0.0,,rice
1420,03-06-2019,-0.04,0.0,0.29,0.0,rice
1422,03-05-2019,0.11,,0.28,,rice
